	qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
857	gene_103_contig_154566	gene_4_contig_156409	54.688	128	50	3	174	294	131	257	1.34e-27	112.0
1441	gene_106_contig_154566	gene_63_contig_155688	53.846000000000004	104	48	0	10	113	1	104	4.76e-43	133.0
3975	gene_11_contig_154566	gene_76_contig_155688	58.172	569	187	12	1	559	1	528	0.0	633.0
5031	gene_12_contig_154566	gene_78_contig_155688	65.079	63	22	0	36	98	21	83	3.01e-30	99.4
5579	gene_13_contig_156409	gene_91_contig_155688	80.435	92	18	0	3	94	10	101	3.0599999999999996e-50	151.0
5997	gene_14_contig_156409	gene_93_contig_155688	95.652	46	2	0	1	46	7	52	2.56e-26	86.3
6453	gene_15_contig_156409	gene_40_contig_154566	82.69200000000001	104	18	0	3	106	156	259	2.7299999999999998e-56	171.0
6454	gene_15_contig_156409	gene_66_contig_155688	80.952	105	15	1	2	106	13	112	7.019999999999999e-54	160.0
7267	gene_17_contig_154566	gene_83_contig_155688	80.637	377	62	3	1	377	1	366	0.0	613.0
7268	gene_17_contig_154566	gene_88_contig_156409	69.531	384	107	6	1	377	1	381	0.0	555.0
7711	gene_18_contig_154566	gene_84_contig_155688	59.17	458	160	11	13	460	17	457	3.729999999999999e-173	490.0
7713	gene_18_contig_154566	gene_87_contig_156409	51.163000000000004	473	188	11	12	460	17	470	4.679999999999998e-146	422.0
7833	gene_18_contig_156409	gene_60_contig_155688	51.244	201	93	2	1	197	21	220	3.219999999999999e-76	224.0
8667	gene_1_contig_154566	gene_67_contig_155688	51.472	781	341	18	4434	5206	4822	5572	0.0	743.0
8668	gene_1_contig_154566	gene_67_contig_155688	52.316	367	165	6	1	364	370	729	2.3299999999999997e-102	368.0
10339	gene_23_contig_154566	gene_89_contig_155688	65.541	592	191	5	1	579	1	592	0.0	800.0
10341	gene_23_contig_154566	gene_82_contig_156409	56.457	604	223	9	1	574	1	594	0.0	685.0
11125	gene_25_contig_154566	gene_94_contig_155688	73.482	494	124	2	4	493	3	493	0.0	779.0
13645	gene_30_contig_154566	gene_98_contig_155688	60.273999999999994	219	86	1	1	218	6	224	3.3699999999999995e-99	284.0
15107	gene_33_contig_154566	gene_100_contig_155688	55.326	291	127	3	5	294	9	297	1.8699999999999997e-123	352.0
15526	gene_34_contig_154566	gene_102_contig_155688	70.085	234	70	0	4	237	5	238	3.359999999999999e-131	366.0
15530	gene_34_contig_154566	gene_71_contig_156409	56.25	240	99	4	1	236	1	238	1.8099999999999998e-99	286.0
15970	gene_35_contig_154566	gene_103_contig_155688	56.25	80	35	0	1	80	1	80	2.0899999999999998e-26	89.0
16312	gene_36_contig_154566	gene_104_contig_155688	54.601000000000006	163	68	3	28	188	10	168	8.68e-55	169.0
16672	gene_37_contig_154566	gene_105_contig_155688	78.495	93	20	0	178	270	910	1002	5.68e-32	124.0
17597	gene_39_contig_154566	gene_86_contig_155688	59.701	67	25	1	8	72	24	90	1.1199999999999999e-23	85.5
18452	gene_40_contig_154566	gene_15_contig_156409	82.69200000000001	104	18	0	156	259	3	106	7.76e-56	171.0
18453	gene_40_contig_154566	gene_66_contig_155688	76.786	112	20	1	148	259	7	112	9.409999999999999e-55	168.0
19012	gene_41_contig_156409	gene_63_contig_154566	58.47	183	58	3	1	183	1	165	2.8799999999999994e-72	212.0
19019	gene_41_contig_156409	gene_24_contig_155688	55.975	159	52	3	25	183	1	141	9.37e-55	167.0
22965	gene_4_contig_156409	gene_103_contig_154566	57.273	110	40	2	131	240	174	276	7.03e-25	105.0
29238	gene_63_contig_154566	gene_24_contig_155688	75.0	140	35	0	25	164	1	140	1.1399999999999998e-76	221.0
29241	gene_63_contig_154566	gene_41_contig_156409	58.47	183	58	3	1	165	1	183	2.549999999999999e-72	212.0
32634	gene_70_contig_156409	gene_103_contig_155688	61.538000000000004	78	30	0	1	78	1	78	1.59e-31	102.0
33060	gene_71_contig_156409	gene_102_contig_155688	53.75	240	106	3	1	238	1	237	1.88e-95	275.0
33061	gene_71_contig_156409	gene_34_contig_154566	55.702	228	96	3	13	238	12	236	3.739999999999999e-95	275.0
36059	gene_7_contig_154566	gene_72_contig_155688	50.515	97	41	3	97	190	51	143	1.31e-24	90.9
36555	gene_80_contig_156409	gene_94_contig_155688	51.992	477	217	4	1	466	1	476	0.0	513.0
37215	gene_82_contig_156409	gene_23_contig_154566	56.61600000000001	597	233	9	1	594	1	574	0.0	683.0
37218	gene_82_contig_156409	gene_89_contig_155688	55.519	607	246	8	4	603	3	592	0.0	672.0
38006	gene_85_contig_154566	gene_51_contig_155688	51.995	752	318	10	58	785	1	733	0.0	778.0
38759	gene_87_contig_156409	gene_84_contig_155688	50.763000000000005	459	204	7	18	471	17	458	1.6699999999999996e-145	420.0
38762	gene_87_contig_156409	gene_18_contig_154566	50.753	465	202	8	17	470	12	460	1.1299999999999998e-139	405.0
39043	gene_88_contig_156409	gene_83_contig_155688	71.916	381	92	4	1	381	1	366	0.0	551.0
39045	gene_88_contig_156409	gene_17_contig_154566	69.531	384	107	6	1	381	1	377	0.0	535.0
40237	gene_91_contig_154566	gene_57_contig_155688	60.909	110	43	0	1	110	1	110	5.769999999999998e-48	153.0
40676	gene_93_contig_154566	gene_58_contig_155688	66.22800000000001	228	76	1	1	227	6	233	8.729999999999996e-119	334.0
40948	gene_94_contig_154566	gene_59_contig_155688	50.128	391	183	3	1	384	77	462	2.5099999999999993e-133	386.0
41225	gene_95_contig_154566	gene_60_contig_155688	50.49	204	97	3	1	204	21	220	2.7899999999999995e-72	214.0
41438	gene_96_contig_154566	gene_61_contig_155688	60.835	503	191	5	2	499	5	506	0.0	619.0
41531	gene_96_contig_156409	gene_9_contig_154566	55.63399999999999	142	63	0	4	145	7	148	6.76e-61	181.0
41532	gene_96_contig_156409	gene_74_contig_155688	56.643	143	62	0	3	145	6	148	7.37e-58	173.0
42651	gene_9_contig_154566	gene_74_contig_155688	65.101	149	52	0	1	149	1	149	2.39e-71	207.0
42652	gene_9_contig_154566	gene_96_contig_156409	55.63399999999999	142	63	0	7	148	4	145	6.9e-61	181.0
