ENA-SAMPLE,Temperature,Region,Depth,Salinity [PSU],Nitrates [umol/L],NO2NO3 [umol/L],Chlorophyll,NO2 [umol/L],Oxygen [umol/kg],PO4 [umol/L],MGII
ERS490603,21.643283,SAO,150.0,35.7,31.8,30.52,0.150865,0.07,1.6,2.91,47.6138271295
ERS490610,21.643283,SAO,150.0,35.7,31.8,30.52,0.150865,0.07,1.6,2.91,1.03870643701
ERS490633,4.749588,SAO,800.0,,1.2,1.86,0.0,0.7,154.7,0.42,25.9706898671
ERS490643,4.749588,SAO,800.0,,1.2,1.86,0.0,0.7,154.7,0.42,9.02608123708
ERS490659,19.854083,SAO,5.0,36.3,-1.4,0.03,0.053173,0.01,193.4,0.23,12.3544730424
ERS490664,19.854083,SAO,5.0,36.3,-1.4,0.03,0.053173,0.01,193.4,0.23,10.2107523092
ERS490665,19.854083,SAO,5.0,36.6,,,0.053173,,,,15.8699729342
ERS490676,19.854083,SAO,5.0,36.6,,,0.053173,,,,0.996368362069
ERS490691,19.30925,SAO,120.0,36.6,0.9,0.06,0.226052,0.01,199.9,0.32,44.2812811734
ERS490696,19.30925,SAO,120.0,36.3,-0.6,0.09,0.226052,0.02,193.0,0.26,31.0331455448
ERS490697,19.30925,SAO,120.0,36.3,-0.6,0.09,0.226052,0.02,193.0,0.26,30.8452206631
ERS490714,5.8659,SAO,800.0,35.9,19.6,21.22,0.0,2.07,2.3,2.64,19.3394616701
ERS490722,5.8659,SAO,800.0,35.9,19.6,21.22,0.0,2.07,2.3,2.64,9.98804267879
ERS490885,7.321517,SAO,5.0,36.0,-1.3,0.09,0.310844,0.0,187.4,0.14,3.9843383423
ERS490900,7.321517,SAO,5.0,,,,0.310844,,,,0.0434081284874
ERS490928,6.975635,SAO,40.0,36.5,-0.2,0.49,1.01772,0.07,148.3,0.34,10.1584107289
ERS490953,6.975635,SAO,40.0,36.5,-0.2,0.49,1.01772,0.07,148.3,0.34,0.0230129951048
ERS491001,1.84402,SO,5.0,36.0,-1.3,0.09,0.109555,0.0,187.4,0.14,0.805386312773
ERS491044,0.67108,SO,5.0,34.6,-1.5,0.03,0.065273,0.0,189.3,0.08,0.448150783047
ERS491063,0.67108,SO,5.0,,,,0.065273,,,,0.0600076625806
ERS491095,-0.78154,SO,90.0,36.0,-1.3,0.09,0.540091,0.0,187.4,0.14,0.558593072179
ERS491107,-0.78154,SO,90.0,35.1,0.6,1.39,0.540091,0.15,132.8,0.34,0.0142142916423
ERS491110,0.45883,SO,790.0,35.1,0.6,1.39,0.010087,0.15,132.8,0.34,24.1627478817
ERS491421,18.014508,SPO,5.0,35.1,2.6,28.64,0.387495,0.02,185.2,1.94,0.25401166977
ERS491463,16.40115,SPO,35.0,34.6,-1.5,0.03,1.104727,0.0,189.3,0.08,0.197162729857
ERS491492,21.131962,SPO,5.0,35.1,0.5,0.05,0.147822,0.0,185.7,0.1,0.420443692627
ERS491525,23.799133,SPO,5.0,34.2,-2.2,0.06,0.044093,0.01,187.3,0.08,2.35148693891
ERS491699,25.14875,SPO,5.0,34.9,0.2,0.47,0.013449,0.03,192.6,0.18,17.8197959393
ERS491740,20.171605,SPO,188.0,34.2,-2.2,0.06,0.176523,0.01,187.3,0.08,35.7654113414
ERS491767,8.113126,SPO,488.0,34.9,0.2,0.47,0.0,0.03,192.6,0.18,43.6999439239
ERS491804,23.788833,SPO,5.0,34.6,,0.0,0.037733,0.0,191.7,0.12,7.69742761315
ERS491836,25.2512,SPO,5.0,35.1,,0.0,0.287892,0.02,190.1,0.0,16.968538334
ERS491851,25.2512,SPO,5.0,,,,0.287892,,,,0.050843663118
ERS491874,20.649431,SPO,50.0,34.8,,,0.366887,,88.2,,35.1292828408
ERS491897,20.649431,SPO,50.0,,,,0.366887,,,,0.555369173297
ERS491913,13.014573,SPO,177.0,35.0,,,0.121464,,193.1,,15.080803132
ERS491930,13.014573,SPO,177.0,,,,0.121464,,,,0.048438150638
ERS491938,24.943108,SPO,5.0,35.3,-0.1,0.02,0.238224,0.0,207.4,0.08,19.7386370748
ERS491980,9.195825,SPO,480.0,35.3,-0.2,,0.010087,,199.9,,57.2919006248
ERS491995,9.195825,SPO,480.0,,,,0.010087,,,,0.0694594531974
ERS492012,19.566255,SPO,40.0,35.2,0.8,0.06,0.728939,0.03,185.0,0.0,24.4673335805
ERS492145,27.617558,SPO,5.0,35.3,,0.0,0.28167,0.0,210.0,0.08,59.7897920921
ERS492160,27.617558,SPO,5.0,35.3,,0.0,0.28167,0.0,210.0,0.08,0.247623162918
ERS492177,26.532035,SPO,30.0,35.3,-0.1,0.02,0.737378,0.0,207.4,0.08,85.3459490993
ERS492198,26.532035,SPO,30.0,35.3,-0.1,0.02,0.737378,0.0,207.4,0.08,0.899143751912
ERS492205,11.3158,SPO,380.0,34.6,,15.24,0.0,0.0,193.0,1.12,35.1391854769
ERS492228,23.8683,SPO,5.0,,,,0.317793,,206.4,,21.2496017056
ERS492264,21.814577,SPO,50.0,,,,0.460366,,206.4,,49.0290635152
ERS492294,10.2584,SPO,380.0,,,,0.0,,206.4,,26.5515142599
ERS492321,22.76873,SPO,5.0,35.4,,,0.203347,,207.0,,34.5072566238
ERS492342,22.76873,SPO,5.0,,,,0.203347,,,,0.0388187251406
ERS492357,19.881449,SPO,90.0,34.7,,,0.378549,,198.0,,27.713856938
ERS492376,19.881449,SPO,90.0,,,,0.378549,,,,0.157403194337
ERS492381,10.893125,SPO,350.0,35.4,,,0.0,,207.0,,26.1753193699
ERS492399,10.893125,SPO,350.0,,,,0.0,,,,0.165080611083
ERS492408,24.237467,SPO,5.0,35.3,,3.23,0.04895,0.26,240.4,0.37,15.3751194469
ERS492445,22.261435,SPO,155.0,35.4,,,0.222552,,207.0,,24.7536956045
ERS492471,5.791448,SPO,696.0,35.3,,3.23,0.0,0.26,240.4,0.37,15.7937961917
ERS492642,26.54413,SPO,5.0,35.7,,1.08,0.166512,0.29,231.7,0.23,71.8672487476
ERS492646,26.54413,SPO,5.0,35.7,,1.08,0.166512,0.29,231.7,0.23,2.9422949847
ERS492647,26.54413,SPO,5.0,34.5,25.8,22.08,0.166512,0.0,195.2,1.53,103.288827698
ERS492648,26.54413,SPO,5.0,34.5,25.8,22.08,0.166512,0.0,195.2,1.53,43.8630701832
ERS492657,26.54413,SPO,5.0,,,,0.166512,,,,0.103991005637
ERS492680,7.212238,SPO,600.0,34.8,0.4,7.09,0.0,0.17,249.4,1.02,107.969208123
ERS492683,7.212238,SPO,600.0,34.8,0.4,7.09,0.0,0.17,249.4,1.02,0.575362557763
ERS492684,7.212238,SPO,600.0,35.7,,1.08,0.0,0.29,231.7,0.23,30.2895719984
ERS492685,7.212238,SPO,600.0,35.7,,1.08,0.0,0.29,231.7,0.23,17.1971159741
ERS492692,7.212238,SPO,600.0,,,,0.0,,,,0.0792243038778
ERS492699,24.69625,SPO,115.0,35.3,2.5,3.34,0.295808,0.3,238.9,0.34,10.1683052655
ERS492703,24.69625,SPO,115.0,35.3,2.5,3.34,0.295808,0.3,238.9,0.34,0.66362211517
ERS492704,24.69625,SPO,115.0,34.8,0.4,7.09,0.295808,0.17,249.4,1.02,14.5872826674
ERS492705,24.69625,SPO,115.0,34.8,0.4,7.09,0.295808,0.17,249.4,1.02,9.94475275411
ERS492714,24.69625,SPO,115.0,,,,0.295808,,,,0.279265284277
ERS492733,26.576175,SPO,5.0,,,0.03,0.319103,0.0,,0.01,100.805576245
ERS492738,26.576175,SPO,5.0,37.5,,0.03,0.319103,0.0,,0.06,41.9018305928
ERS492739,26.576175,SPO,5.0,34.4,37.8,36.73,0.319103,0.01,161.7,2.52,93.5480782088
ERS492748,26.576175,SPO,5.0,,,,0.319103,,,,0.0723111287609
ERS492778,22.1151,SPO,150.0,35.7,,1.3,0.051638,0.25,231.9,0.23,35.9063102829
ERS492781,22.1151,SPO,150.0,35.7,,1.3,0.051638,0.25,231.9,0.23,2.56137054351
ERS492782,22.1151,SPO,150.0,35.7,,1.3,0.051638,0.25,231.9,0.23,9.35887749912
ERS492783,22.1151,SPO,150.0,35.7,,1.3,0.051638,0.25,231.9,0.23,3.72089867274
ERS492814,26.518986,SPO,5.0,,,,0.286662,,,,278.953910231
ERS492818,26.518986,SPO,5.0,36.4,0.2,0.99,0.286662,0.05,215.7,0.36,5.25180132632
ERS492819,26.518986,SPO,5.0,36.4,0.2,0.99,0.286662,0.05,215.7,0.36,82.5665240502
ERS492820,26.518986,SPO,5.0,36.6,0.2,0.04,0.286662,0.01,194.4,0.14,38.6579169828
ERS492843,26.518986,SPO,5.0,,,,0.286662,,,,0.153964844055
ERS492863,25.221787,SPO,120.0,34.4,37.8,36.73,0.127609,0.01,161.7,2.52,202.313546431
ERS492866,25.221787,SPO,120.0,34.4,37.8,36.73,0.127609,0.01,161.7,2.52,3.86369326575
ERS492867,25.221787,SPO,120.0,34.4,37.8,36.73,0.127609,0.01,161.7,2.52,34.2316730009
ERS492868,25.221787,SPO,120.0,36.4,0.2,0.99,0.127609,0.05,215.7,0.36,38.3209771569
ERS492877,25.221787,SPO,120.0,,,,0.127609,,,,0.317072998506
ERS492888,26.780158,SPO,5.0,36.7,0.6,0.0,0.233673,0.02,203.8,0.04,404.40002729
ERS492892,26.780158,SPO,5.0,36.4,0.3,0.02,0.233673,0.0,199.1,0.1,4.62368668571
ERS492893,26.780158,SPO,5.0,36.7,0.6,0.0,0.233673,0.02,203.8,0.04,4.26160811579
ERS492894,26.780158,SPO,5.0,36.7,0.6,0.0,0.233673,0.02,203.8,0.04,7.36771277762
ERS492903,26.780158,SPO,5.0,,,,0.233673,,,,0.0478902541968
ERS492926,23.706525,SPO,140.0,34.5,38.4,36.98,0.020173,0.01,143.2,2.62,6.2035407759
ERS492930,23.706525,SPO,140.0,36.6,0.2,0.04,0.020173,0.01,194.4,0.14,0.687592114283
ERS492931,23.706525,SPO,140.0,34.5,38.4,36.98,0.020173,0.01,143.2,2.62,119.74471661
ERS492932,23.706525,SPO,140.0,36.4,0.3,0.02,0.020173,0.0,199.1,0.1,106.76871483
ERS493044,26.074467,SPO,5.0,34.4,34.6,12.08,0.288205,0.0,192.2,0.94,86.1631649343
ERS493098,26.080233,SPO,40.0,36.7,0.6,0.0,0.451256,0.02,203.8,0.04,112.396923817
ERS493300,25.173925,NPO,5.0,37.1,0.0,0.0,0.057131,0.0,206.2,0.06,30.6440354055
ERS493340,15.284298,NPO,115.0,34.4,34.6,12.08,0.276677,0.0,192.2,0.94,12.8702978097
ERS493372,6.689724,NPO,550.0,37.1,0.0,0.0,0.005017,0.0,206.2,0.06,25.8805098129
ERS493390,19.249733,NPO,5.0,36.3,0.5,0.1,0.038221,0.05,217.1,0.0,2.30425188248
ERS493431,13.159842,NPO,45.0,37.1,0.0,0.0,0.436597,0.0,206.2,0.06,10.1545092015
ERS493460,4.936634,NPO,650.0,37.1,0.0,0.0,0.002017,0.0,206.2,0.06,29.2680205328
ERS493636,26.4091,NPO,5.0,34.4,29.8,28.21,0.290611,0.0,214.8,1.95,29.9039140791
ERS493670,,NPO,40.0,36.3,0.5,0.1,,0.05,217.1,0.0,7.10708190243
ERS493684,,NPO,40.0,,,,,,,,0.228739516178
ERS493705,8.911481,NPO,375.0,36.3,0.5,0.1,0.001625,0.05,217.1,0.0,16.6695080688
ERS493752,26.6362,NPO,5.0,36.3,-0.4,0.02,0.013449,0.0,221.5,0.0,50.8455202885
ERS493788,19.048358,NPO,60.0,34.4,29.8,28.21,0.334076,0.0,214.8,1.95,17.2990577042
ERS493803,19.048358,NPO,60.0,,,,0.334076,,,,0.0799817388247
ERS493822,8.210557,NPO,450.0,36.3,-0.4,0.02,0.002017,0.0,221.5,0.0,15.7252584645
ERS493877,26.62925,NPO,5.0,36.3,-0.4,0.02,0.040695,0.0,221.5,0.0,23.8497161497
ERS493914,27.119358,NAO,5.0,36.3,-0.4,0.02,0.126428,0.0,221.5,0.0,8.41701429576
ERS493938,24.96555,NAO,5.0,34.0,17.1,18.15,0.163338,0.15,305.0,1.3,94.4073033326
ERS493981,24.948842,NAO,125.0,34.1,17.1,19.07,0.164483,0.14,306.2,1.42,114.833718402
ERS494006,9.756257,NAO,640.0,34.1,17.1,19.07,0.008069,0.14,306.2,1.42,23.2798725778
ERS494170,14.11885,NAO,5.0,34.3,33.1,31.0,0.296307,0.06,325.4,2.31,13.097639513
ERS494208,5.067239,NAO,590.0,33.7,24.4,25.3,0.008351,0.27,338.3,1.72,21.5518570709
ERS494236,19.1288,NAO,5.0,34.7,38.8,36.37,0.12799,0.02,203.8,2.61,40.7533504514
ERS494274,11.012346,NAO,640.0,34.3,33.1,31.0,0.006052,0.06,325.4,2.31,19.0957904383
ERS494332,20.3973,NAO,5.0,34.4,27.5,28.5,0.166512,0.11,343.4,2.11,50.241473157
ERS494374,18.169021,NAO,250.0,37.8,,0.08,0.004651,0.02,,0.02,20.5246172566
ERS494394,18.732683,NAO,5.0,34.3,0.7,7.55,0.214174,0.37,237.2,1.07,33.7041975853
ERS494431,10.565417,NAO,740.0,38.0,,0.03,0.009303,0.01,,0.02,19.0253235444
ERS494445,17.583075,NAO,5.0,34.7,-0.4,0.03,0.196921,0.0,219.2,0.28,17.4433166238
ERS494488,17.663574,NAO,40.0,34.3,-1.5,0.02,0.339591,0.01,244.9,0.52,28.0308979373
ERS494518,17.260108,NAO,5.0,35.8,-0.7,0.05,0.040347,0.02,210.6,0.1,32.3661615301
ERS494559,16.751066,NAO,80.0,35.8,-0.4,0.02,0.247378,0.0,204.1,0.16,24.4461966043
ERS494579,14.28065,NAO,5.0,36.1,-1.7,0.04,0.238225,0.0,204.0,0.29,10.1726229371
ERS494616,10.21177,NAO,800.0,34.4,24.6,27.29,0.001345,0.0,155.6,2.02,21.468453906
ERS494628,,NAO,25.0,36.4,-1.6,0.05,,0.0,200.5,0.2,11.666106042
Eilat_A_12,26.0,RS,5.0,,0.01,,0.348,0.055,,0.022,279.702147101
Eilat_A_18,26.0,RS,5.0,,0.01,,0.348,0.055,,0.022,213.061162496
Eilat_A_24,26.0,RS,5.0,,0.01,,0.348,0.055,,0.022,254.549573185
Eilat_A_6,26.0,RS,5.0,,0.01,,0.348,0.055,,0.022,262.794664997
