Sample label [TARA_station#_environmental-feature_size-fraction],ENA-SAMPLE,Station,Date,Salinity [PSU],Oxygen [umol/kg],Nitrates [umol/L],NO2 [umol/L],PO4 [umol/L],NO2NO3 [umol/L],SI [umol/L],AMODIS:PAR8d,Einsteins/m-2/d-1,Okubo-Weiss,Lyapunov_exp.,grad_SST_adv
TARA_076_SRF_0.22-0.45,ERS490547,TARA_076,16/03/2010 10:05,36,2.4,22.4,0.69,2.64,23.43,38.94,47.7,0.01,0.07,0.16,1.08
TARA_076_SRF_0.45-0.8,ERS490548,TARA_076,15/03/2010 3:44,36.6,199.9,0.9,0.01,0.32,0.06,1.18,47.7,0.01,0.07,0.16,1.08
TARA_076_SRF_<-0.22,ERS490557,TARA_076,15/03/2010 3:44,36.6,199.9,0.9,0.01,0.32,0.06,1.18,47.7,0.01,0.07,0.16,1.08
TARA_076_DCM_0.22-3,ERS490597,TARA_076,12/03/2010 6:19,36.5,210.9,NA,0.05,0.37,0.13,1.2,42.5,-0.03,0.07,0.23,18.83
TARA_076_DCM_0.22-0.45,ERS490602,TARA_076,12/03/2010 6:19,36.5,210.9,NA,0.05,0.37,0.13,1.2,42.5,-0.03,0.07,0.23,18.83
TARA_076_DCM_0.45-0.8,ERS490603,TARA_076,13/03/2010 10:55,35.7,1.6,31.8,0.07,2.91,30.52,54.48,40.3,NA,NA,NA,NA
TARA_076_DCM_<-0.22,ERS490610,TARA_076,13/03/2010 10:55,35.7,1.6,31.8,0.07,2.91,30.52,54.48,40.3,NA,NA,NA,NA
TARA_076_MES_0.22-3,ERS490633,TARA_076,15/03/2010 9:32,NA,154.7,1.2,0.7,0.42,1.86,1.63,46,0.01,0.07,0.16,1.08
TARA_076_MES_0.45-0.8,ERS490643,TARA_076,15/03/2010 9:32,NA,154.7,1.2,0.7,0.42,1.86,1.63,46,0.01,0.07,0.16,1.08
TARA_078_SRF_0.22-3,ERS490659,TARA_078,18/03/2010 4:41,36.3,193.4,-1.4,0.01,0.23,0.03,1.44,46.9,0.33,0.03,1.63,2.14
TARA_078_SRF_0.22-0.45,ERS490664,TARA_078,18/03/2010 4:41,36.3,193.4,-1.4,0.01,0.23,0.03,1.44,46.9,0.33,0.03,1.63,2.14
TARA_078_SRF_0.45-0.8,ERS490665,TARA_078,15/09/2009 16:45,36.6,NA,NA,NA,NA,NA,NA,37.6,0.01,0.02,NA,0
TARA_078_SRF_<-0.22,ERS490676,TARA_078,15/09/2009 10:15,36.6,NA,NA,NA,NA,NA,NA,39.9,0.01,0.02,NA,0
TARA_078_DCM_0.22-3,ERS490691,TARA_078,15/03/2010 3:44,36.6,199.9,0.9,0.01,0.32,0.06,1.18,47.7,0.01,0.07,0.16,1.08
TARA_078_DCM_0.22-0.45,ERS490696,TARA_078,18/03/2010 9:52,36.3,193,-0.6,0.02,0.26,0.09,1.28,45.9,0.33,0.03,1.63,2.14
TARA_078_DCM_0.45-0.8,ERS490697,TARA_078,18/03/2010 9:52,36.3,193,-0.6,0.02,0.26,0.09,1.28,45.9,0.33,0.03,1.63,2.14
TARA_078_MES_0.22-3,ERS490714,TARA_078,20/03/2010 9:36,35.9,2.3,19.6,2.07,2.64,21.22,38.62,48.6,0.33,0.03,1.63,2.14
TARA_078_MES_0.45-0.8,ERS490722,TARA_078,20/03/2010 9:36,35.9,2.3,19.6,2.07,2.64,21.22,38.62,48.6,0.33,0.03,1.63,2.14
TARA_082_SRF_0.22-3,ERS490885,TARA_082,30/03/2010 2:56,36,187.4,-1.3,0,0.14,0.09,1.47,47.6,-0.16,0.03,0.43,21.64
TARA_082_DCM_0.22-3,ERS490928,TARA_082,30/03/2010 8:46,36.5,148.3,-0.2,0.07,0.34,0.49,1.38,48.5,-0.16,0.03,0.43,21.64
TARA_082_DCM_<-0.22,ERS490953,TARA_082,30/03/2010 8:46,36.5,148.3,-0.2,0.07,0.34,0.49,1.38,48.5,-0.16,0.03,0.43,21.64
TARA_084_SRF_0.22-3,ERS491001,TARA_084,30/03/2010 2:56,36,187.4,-1.3,0,0.14,0.09,1.47,47.6,-0.16,0.03,0.43,21.64
TARA_085_SRF_0.22-3,ERS491044,TARA_085,04/04/2010 3:13,34.6,189.3,-1.5,0,0.08,0.03,2.21,51.7,-0.03,0.04,NA,7.06
TARA_085_DCM_0.22-3,ERS491095,TARA_085,30/03/2010 2:56,36,187.4,-1.3,0,0.14,0.09,1.47,47.6,-0.16,0.03,0.43,21.64
TARA_085_DCM_<-0.22,ERS491107,TARA_085,04/04/2010 9:05,35.1,132.8,0.6,0.15,0.34,1.39,3.2,41.6,-0.03,0.04,NA,7.06
TARA_085_MES_0.22-3,ERS491110,TARA_085,04/04/2010 9:05,35.1,132.8,0.6,0.15,0.34,1.39,3.2,41.6,-0.03,0.04,NA,7.06
TARA_093_SRF_0.22-3,ERS491421,TARA_093,13/04/2010 3:21,35.1,185.2,2.6,0.02,1.94,28.64,15.14,33.9,0.01,0,NA,0
TARA_093_DCM_0.22-3,ERS491463,TARA_093,04/04/2010 3:13,34.6,189.3,-1.5,0,0.08,0.03,2.21,51.7,-0.03,0.04,NA,7.06
TARA_094_SRF_0.22-3,ERS491492,TARA_094,15/04/2010 2:38,35.1,185.7,0.5,0,0.1,0.05,1.94,43.5,0.03,0,NA,1.19
TARA_096_SRF_0.22-3,ERS491525,TARA_096,19/04/2010 7:54,34.2,187.3,-2.2,0.01,0.08,0.06,2.12,43.4,-0.07,0.05,1.99,6.19
TARA_098_SRF_0.22-3,ERS491699,TARA_098,17/05/2010 15:34,34.9,192.6,0.2,0.03,0.18,0.47,3.22,33.4,0.47,0.05,1.77,0
TARA_098_DCM_0.22-3,ERS491740,TARA_098,19/04/2010 7:54,34.2,187.3,-2.2,0.01,0.08,0.06,2.12,43.4,-0.07,0.05,1.99,6.19
TARA_098_MES_0.22-3,ERS491767,TARA_098,17/05/2010 15:34,34.9,192.6,0.2,0.03,0.18,0.47,3.22,33.4,0.47,0.05,1.77,0
TARA_099_SRF_0.22-3,ERS491804,TARA_099,17/05/2010 3:56,34.6,191.7,NA,0,0.12,0,2.67,33.9,0.47,0.05,1.77,0
TARA_100_SRF_0.22-3,ERS491836,TARA_100,27/06/2010 12:07,35.1,190.1,NA,0.02,0,0,2.81,25.1,NA,NA,NA,NA
TARA_100_DCM_0.22-3,ERS491874,TARA_100,26/06/2010 7:12,34.8,88.2,NA,NA,NA,NA,NA,37.6,NA,NA,NA,NA
TARA_100_MES_0.22-3,ERS491913,TARA_100,26/06/2010 7:12,35,193.1,NA,NA,NA,NA,NA,37.6,NA,NA,NA,NA
TARA_102_SRF_0.22-3,ERS491938,TARA_102,08/07/2010 5:19,35.3,207.4,-0.1,0,0.08,0.02,1.75,15.4,0.52,0.08,1.5,1.28
TARA_102_MES_0.22-3,ERS491980,TARA_102,02/07/2010 10:17,35.3,199.9,-0.2,NA,NA,NA,NA,28.9,NA,NA,NA,NA
TARA_102_DCM_0.22-3,ERS492012,TARA_102,29/06/2010 13:12,35.2,185,0.8,0.03,0,0.06,2.51,29.2,0.21,0.33,NA,0
TARA_109_SRF_0.22-3,ERS492145,TARA_109,07/07/2010 4:56,35.3,210,NA,0,0.08,0,1.77,15,0.52,0.08,1.5,1.28
TARA_109_SRF_<-0.22,ERS492160,TARA_109,07/07/2010 4:56,35.3,210,NA,0,0.08,0,1.77,15,0.52,0.08,1.5,1.28
TARA_109_DCM_0.22-3,ERS492177,TARA_109,08/07/2010 5:19,35.3,207.4,-0.1,0,0.08,0.02,1.75,15.4,0.52,0.08,1.5,1.28
TARA_109_DCM_<-0.22,ERS492198,TARA_109,08/07/2010 5:19,35.3,207.4,-0.1,0,0.08,0.02,1.75,15.4,0.52,0.08,1.5,1.28
TARA_109_MES_0.22-3,ERS492205,TARA_109,07/07/2010 13:29,34.6,193,NA,0,1.12,15.24,5.89,14.6,0.52,0.08,1.5,1.28
TARA_110_SRF_0.22-3,ERS492228,TARA_110,12/07/2010 11:25,NA,206.4,NA,NA,NA,NA,NA,10.4,1.83,0.11,0.73,1.08
TARA_110_DCM_0.22-3,ERS492264,TARA_110,12/07/2010 11:25,NA,206.4,NA,NA,NA,NA,NA,10.4,1.83,0.11,0.73,1.08
TARA_110_MES_0.22-3,ERS492294,TARA_110,12/07/2010 11:25,NA,206.4,NA,NA,NA,NA,NA,10.4,1.83,0.11,0.73,1.08
TARA_111_SRF_0.22-3,ERS492321,TARA_111,12/07/2010 6:46,35.4,207,NA,NA,NA,NA,NA,9.2,1.83,0.11,0.73,1.08
TARA_111_DCM_0.22-3,ERS492357,TARA_111,12/07/2010 10:31,34.7,198,NA,NA,NA,NA,NA,10.4,1.83,0.11,0.73,1.08
TARA_111_MES_0.22-3,ERS492381,TARA_111,12/07/2010 6:46,35.4,207,NA,NA,NA,NA,NA,9.2,1.83,0.11,0.73,1.08
TARA_112_SRF_0.22-3,ERS492408,TARA_112,15/07/2010 16:32,35.3,240.4,NA,0.26,0.37,3.23,2.47,13.1,0.01,0.05,NA,0
TARA_112_DCM_0.22-3,ERS492445,TARA_112,12/07/2010 6:46,35.4,207,NA,NA,NA,NA,NA,9.2,1.83,0.11,0.73,1.08
TARA_112_MES_0.22-3,ERS492471,TARA_112,15/07/2010 16:32,35.3,240.4,NA,0.26,0.37,3.23,2.47,13.1,0.01,0.05,NA,0
TARA_122_SRF_0.22-3,ERS492642,TARA_122,14/09/2010 9:14,35.7,231.7,NA,0.29,0.23,1.08,2.44,34.1,-0.25,0.04,0.22,31.83
TARA_122_SRF_0.1-0.22,ERS492646,TARA_122,14/09/2010 9:14,35.7,231.7,NA,0.29,0.23,1.08,2.44,34.1,-0.25,0.04,0.22,31.83
TARA_122_SRF_0.22-0.45,ERS492647,TARA_122,13/09/2010 14:13,34.5,195.2,25.8,0,1.53,22.08,12.08,31.3,-0.25,0.04,0.22,31.83
TARA_122_SRF_0.45-0.8,ERS492648,TARA_122,13/09/2010 14:13,34.5,195.2,25.8,0,1.53,22.08,12.08,31.3,-0.25,0.04,0.22,31.83
TARA_122_MES_0.22-3,ERS492680,TARA_122,07/09/2010 6:35,34.8,249.4,0.4,0.17,1.02,7.09,13.88,37.7,0.04,0.14,NA,1.11
TARA_122_MES_0.1-0.22,ERS492683,TARA_122,07/09/2010 6:35,34.8,249.4,0.4,0.17,1.02,7.09,13.88,37.7,0.04,0.14,NA,1.11
TARA_122_MES_0.22-0.45,ERS492684,TARA_122,14/09/2010 9:14,35.7,231.7,NA,0.29,0.23,1.08,2.44,34.1,-0.25,0.04,0.22,31.83
TARA_122_MES_0.45-0.8,ERS492685,TARA_122,14/09/2010 9:14,35.7,231.7,NA,0.29,0.23,1.08,2.44,34.1,-0.25,0.04,0.22,31.83
TARA_122_DCM_0.22-3,ERS492699,TARA_122,15/07/2010 12:26,35.3,238.9,2.5,0.3,0.34,3.34,2.74,14.3,0.01,0.05,NA,0
TARA_122_DCM_0.1-0.22,ERS492703,TARA_122,15/07/2010 12:26,35.3,238.9,2.5,0.3,0.34,3.34,2.74,14.3,0.01,0.05,NA,0
TARA_122_DCM_0.22-0.45,ERS492704,TARA_122,07/09/2010 6:35,34.8,249.4,0.4,0.17,1.02,7.09,13.88,37.7,0.04,0.14,NA,1.11
TARA_122_DCM_0.45-0.8,ERS492705,TARA_122,07/09/2010 6:35,34.8,249.4,0.4,0.17,1.02,7.09,13.88,37.7,0.04,0.14,NA,1.11
TARA_123_SRF_0.22-3,ERS492733,TARA_123,23/09/2009 16:52,NA,NA,NA,0,0.01,0.03,0.5,29.9,-0.79,0,NA,4.92
TARA_123_SRF_0.22-0.45,ERS492738,TARA_123,23/09/2009 15:06,37.5,NA,NA,0,0.06,0.03,0.52,29.9,-0.79,0,NA,4.92
TARA_123_SRF_0.45-0.8,ERS492739,TARA_123,22/09/2010 10:38,34.4,161.7,37.8,0.01,2.52,36.73,44.86,48.8,0,0.04,1.33,10.81
TARA_123_MIX_0.22-3,ERS492778,TARA_123,14/09/2010 9:14,35.7,231.9,NA,0.25,0.23,1.3,2.6,34.1,-0.25,0.04,0.22,31.83
TARA_123_MIX_0.1-0.22,ERS492781,TARA_123,14/09/2010 9:14,35.7,231.9,NA,0.25,0.23,1.3,2.6,34.1,-0.25,0.04,0.22,31.83
TARA_123_MIX_0.22-0.45,ERS492782,TARA_123,14/09/2010 9:14,35.7,231.9,NA,0.25,0.23,1.3,2.6,34.1,-0.25,0.04,0.22,31.83
TARA_123_MIX_0.45-0.8,ERS492783,TARA_123,14/09/2010 9:14,35.7,231.9,NA,0.25,0.23,1.3,2.6,34.1,-0.25,0.04,0.22,31.83
TARA_124_SRF_0.1-0.22,ERS492818,TARA_124,21/09/2010 7:05,36.4,215.7,0.2,0.05,0.36,0.99,1.36,48.2,0,0.04,1.33,10.81
TARA_124_SRF_0.22-0.45,ERS492819,TARA_124,21/09/2010 7:05,36.4,215.7,0.2,0.05,0.36,0.99,1.36,48.2,0,0.04,1.33,10.81
TARA_124_SRF_0.45-0.8,ERS492820,TARA_124,05/10/2010 12:42,36.6,194.4,0.2,0.01,0.14,0.04,1.32,40.4,0.04,0.02,1.02,0
TARA_124_SRF_0.22-3,ERS492821|ERS492814,TARA_124,21/09/2010 7:05,36.4,215.7,0.2,0.05,0.36,0.99,1.36,48.2,0,0.04,1.33,10.81
TARA_124_MIX_0.22-3,ERS492863,TARA_124,22/09/2010 10:38,34.4,161.7,37.8,0.01,2.52,36.73,44.86,48.8,0,0.04,1.33,10.81
TARA_124_MIX_0.1-0.22,ERS492866,TARA_124,22/09/2010 10:38,34.4,161.7,37.8,0.01,2.52,36.73,44.86,48.8,0,0.04,1.33,10.81
TARA_124_MIX_0.22-0.45,ERS492867,TARA_124,22/09/2010 10:38,34.4,161.7,37.8,0.01,2.52,36.73,44.86,48.8,0,0.04,1.33,10.81
TARA_124_MIX_0.45-0.8,ERS492868,TARA_124,21/09/2010 7:05,36.4,215.7,0.2,0.05,0.36,0.99,1.36,48.2,0,0.04,1.33,10.81
TARA_125_SRF_0.22-3,ERS492888,TARA_125,16/10/2010 17:43,36.7,203.8,0.6,0.02,0.04,0,0.71,NA,0.01,0.02,0.7,3.53
TARA_125_SRF_0.1-0.22,ERS492892,TARA_125,05/10/2010 8:10,36.4,199.1,0.3,0,0.1,0.02,0.87,37.5,0.04,0.02,1.02,0
TARA_125_SRF_0.22-0.45,ERS492893,TARA_125,16/10/2010 17:43,36.7,203.8,0.6,0.02,0.04,0,0.71,NA,0.01,0.02,0.7,3.53
TARA_125_SRF_0.45-0.8,ERS492894,TARA_125,16/10/2010 17:43,36.7,203.8,0.6,0.02,0.04,0,0.71,NA,0.01,0.02,0.7,3.53
TARA_125_MIX_0.22-3,ERS492926,TARA_125,06/10/2010 9:59,34.5,143.2,38.4,0.01,2.62,36.98,34.44,35.9,0.04,0.02,1.02,0
TARA_125_MIX_0.1-0.22,ERS492930,TARA_125,05/10/2010 12:42,36.6,194.4,0.2,0.01,0.14,0.04,1.32,40.4,0.04,0.02,1.02,0
TARA_125_MIX_0.22-0.45,ERS492931,TARA_125,06/10/2010 9:59,34.5,143.2,38.4,0.01,2.62,36.98,34.44,35.9,0.04,0.02,1.02,0
TARA_125_MIX_0.45-0.8,ERS492932,TARA_125,05/10/2010 8:10,36.4,199.1,0.3,0,0.1,0.02,0.87,37.5,0.04,0.02,1.02,0
TARA_128_SRF_0.22-3,ERS493044,TARA_128,17/10/2010 11:01,34.4,192.2,34.6,0,0.94,12.08,4.39,NA,0.01,0.02,0.7,3.53
TARA_128_DCM_0.22-3,ERS493098,TARA_128,16/10/2010 17:43,36.7,203.8,0.6,0.02,0.04,0,0.71,NA,0.01,0.02,0.7,3.53
TARA_132_SRF_0.22-3,ERS493300,TARA_132,16/10/2010 10:07,37.1,206.2,0,0,0.06,0,0.81,NA,0.01,0.02,0.7,3.53
TARA_132_DCM_0.22-3,ERS493340,TARA_132,17/10/2010 11:01,34.4,192.2,34.6,0,0.94,12.08,4.39,NA,0.01,0.02,0.7,3.53
TARA_132_MES_0.22-3,ERS493372,TARA_132,16/10/2010 10:07,37.1,206.2,0,0,0.06,0,0.81,NA,0.01,0.02,0.7,3.53
TARA_133_SRF_0.22-3,ERS493390,TARA_133,04/11/2010 19:34,36.3,217.1,0.5,0.05,0,0.1,0.32,NA,-0.04,0.08,1.91,14.53
TARA_133_DCM_0.22-3,ERS493431,TARA_133,16/10/2010 10:07,37.1,206.2,0,0,0.06,0,0.81,NA,0.01,0.02,0.7,3.53
TARA_133_MES_0.22-3,ERS493460,TARA_133,16/10/2010 10:07,37.1,206.2,0,0,0.06,0,0.81,NA,0.01,0.02,0.7,3.53
TARA_137_SRF_0.22-3,ERS493636,TARA_137,05/11/2010 12:33,34.4,214.8,29.8,0,1.95,28.21,13.93,NA,-0.04,0.08,1.91,14.53
TARA_137_DCM_0.22-3,ERS493670,TARA_137,04/11/2010 19:34,36.3,217.1,0.5,0.05,0,0.1,0.32,NA,-0.04,0.08,1.91,14.53
TARA_137_MES_0.22-3,ERS493705,TARA_137,04/11/2010 19:34,36.3,217.1,0.5,0.05,0,0.1,0.32,NA,-0.04,0.08,1.91,14.53
TARA_138_SRF_0.22-3,ERS493752,TARA_138,04/11/2010 10:24,36.3,221.5,-0.4,0,0,0.02,0.48,NA,-0.04,0.08,1.91,14.53
TARA_138_DCM_0.22-3,ERS493788,TARA_138,05/11/2010 12:33,34.4,214.8,29.8,0,1.95,28.21,13.93,NA,-0.04,0.08,1.91,14.53
TARA_138_MES_0.22-3,ERS493822,TARA_138,04/11/2010 10:24,36.3,221.5,-0.4,0,0,0.02,0.48,NA,-0.04,0.08,1.91,14.53
TARA_140_SRF_0.22-3,ERS493877,TARA_140,04/11/2010 10:24,36.3,221.5,-0.4,0,0,0.02,0.48,NA,-0.04,0.08,1.91,14.53
TARA_141_SRF_0.22-3,ERS493914,TARA_141,04/11/2010 10:24,36.3,221.5,-0.4,0,0,0.02,0.48,NA,-0.04,0.08,1.91,14.53
TARA_142_SRF_0.22-3,ERS493938,TARA_142,06/12/2010 10:25,34,305,17.1,0.15,1.3,18.15,1.82,27.5,-0.01,0.05,1.01,2.92
TARA_142_DCM_0.22-3,ERS493981,TARA_142,06/12/2010 16:37,34.1,306.2,17.1,0.14,1.42,19.07,3.08,29.5,-0.01,0.05,1.01,2.92
TARA_142_MES_0.22-3,ERS494006,TARA_142,06/12/2010 16:37,34.1,306.2,17.1,0.14,1.42,19.07,3.08,29.5,-0.01,0.05,1.01,2.92
TARA_145_SRF_0.22-3,ERS494170,TARA_145,06/01/2011 20:36,34.3,325.4,33.1,0.06,2.31,31,81.82,38.3,0,0,0.22,3.08
TARA_145_MES_0.22-3,ERS494208,TARA_145,03/01/2011 11:10,33.7,338.3,24.4,0.27,1.72,25.3,16.55,36.2,0.16,0.32,0.76,1.83
TARA_146_SRF_0.22-3,ERS494236,TARA_146,07/01/2011 11:25,34.7,203.8,38.8,0.02,2.61,36.37,83.35,34.2,0,0,0.22,3.08
TARA_146_MES_0.22-3,ERS494274,TARA_146,06/01/2011 20:36,34.3,325.4,33.1,0.06,2.31,31,81.82,38.3,0,0,0.22,3.08
TARA_148_SRF_0.22-3,ERS494332,TARA_148,06/01/2011 10:26,34.4,343.4,27.5,0.11,2.11,28.5,79.52,32.4,0,0,0.22,3.08
TARA_148b_MES_0.22-3,ERS494374,TARA_148b,28/09/2009 13:36,37.8,NA,NA,0.02,0.02,0.08,0.6,26.7,-0.77,0.08,0.69,13.61
TARA_149_SRF_0.22-3,ERS494394,TARA_149,12/03/2011 20:07,34.3,237.2,0.7,0.37,1.07,7.55,0.59,36.4,-0.07,0.04,NA,3.86
TARA_149_MES_0.22-3,ERS494431,TARA_149,28/09/2009 13:36,38,NA,NA,0.01,0.02,0.03,0.75,26.7,-0.77,0.08,0.69,13.61
TARA_150_SRF_0.22-3,ERS494445,TARA_150,18/03/2011 14:16,34.7,219.2,-0.4,0,0.28,0.03,0.09,44.3,0,0.05,0.73,12.97
TARA_150_DCM_0.22-3,ERS494488,TARA_150,12/03/2011 11:49,34.3,244.9,-1.5,0.01,0.52,0.02,0.09,37.3,-0.07,0.04,NA,3.86
TARA_151_SRF_0.22-3,ERS494518,TARA_151,04/04/2011 8:23,35.8,210.6,-0.7,0.02,0.1,0.05,0.35,44.6,-0.03,0.03,0.36,61.78
TARA_151_DCM_0.22-3,ERS494559,TARA_151,24/03/2011 13:07,35.8,204.1,-0.4,0,0.16,0.02,0.53,43.2,0.02,0.01,0.51,4.25
TARA_152_SRF_0.22-3,ERS494579,TARA_152,09/04/2011 14:09,36.1,204,-1.7,0,0.29,0.04,0.55,44.6,0,0,0.71,13.53
TARA_152_MES_0.22-3,ERS494616,TARA_152,04/04/2011 17:28,34.4,155.6,24.6,0,2.02,27.29,12.05,45,-0.03,0.03,0.36,61.78
TARA_152_MIX_0.22-3,ERS494628,TARA_152,03/04/2011 18:10,36.4,200.5,-1.6,0,0.2,0.05,0.38,44.9,-0.03,0.03,0.36,61.78