"toal_read_count","PE_read_count","total_base_count","Longitude","Latitude","Fraction","Depth","index","dataset"
"87211178","43605589","4404164489","29.53","34.97","vDNA","5","vDNA_12_final","EV12"
"61505292","30752646","3106017246","29.53","34.97","vDNA","5","vDNA_6_final","EV06"
"54078306","27039153","2730954453","29.53","34.97","vDNA","5","vDNA_18_final","EV18"
"92413686","46206843","4666891143","29.53","34.97","vDNA","5","vDNA_24_final","EV24"
"82366994","41183497","2471009820","29.53","34.97","RNA","5","RNA_6_final","ER06"
"79348656","39674328","2380459680","29.53","34.97","RNA","5","RNA_12_final","ER12"
"93544198","46772099","2806325940","29.53","34.97","RNA","5","RNA_18_final","ER18"
"75053222","37526611","2251596660","29.53","34.97","RNA","5","RNA_24_final","ER24"
"49660188","24830094","2507839494","29.53","34.97","gDNA","5","gDNA_6_final","EG06"
"42459222","21229611","2144190711","29.53","34.97","gDNA","5","gDNA_12_final","EG12"
"44400576","22200288","2242229088","29.53","34.97","gDNA","5","gDNA_18_final","EG18"
"42141412","21070706","2128141306","29.53","34.97","gDNA","5","gDNA_24_final","EG24"
"218073534","109036767","6542206020","29.53","34.97","RNA","5","RNA_6_accident_final","ERA06"
"208635348","104317674","6259060440","29.53","34.97","RNA","5","RNA_12_accident_final","ERA12"
"189557390","94778695","5686721700","29.53","34.97","RNA","5","RNA_18_accident_final","ERA18"
"193631066","96815533","5808931980","29.53","34.97","RNA","5","RNA_24_accident_final","ERA24"
"","","","","","","","",""